ran,error_threshold,turn,sampled_rule_rows,sampling_seconds,train_seconds,test_seconds,total_seconds,accuracy,precision,recall
15,0.2,1,2234,15.334662199020386,0.5661993026733398,0.39614081382751465,0.9623401165008545,0.6009713300955664,0.6195611473077212,0.6009404190513891
15,0.2,2,2234,14.366717338562012,0.7462685108184814,0.4843451976776123,1.2306137084960938,0.6025379915400282,0.6292336628368995,0.6025023680322712
15,0.2,3,2234,14.214869260787964,0.5988008975982666,0.41584110260009766,1.0146420001983643,0.6000313332288892,0.6281284469085507,0.5999946297112257
15,0.2,4,2234,14.576906204223633,0.6032857894897461,0.4271378517150879,1.030423641204834,0.6069246435845214,0.6379002379990348,0.6068874984389837
15,0.2,5,2234,13.933866262435913,0.5798149108886719,0.5451157093048096,1.1249306201934814,0.5864013786620711,0.6009410114099958,0.5863716208415115
15,0.3,1,2234,16.01790189743042,0.5630946159362793,0.45499324798583984,1.0180878639221191,0.6083346388845371,0.6296292618680597,0.6083028689712372
15,0.3,2,2234,17.04218602180481,0.5615293979644775,0.4906151294708252,1.0521445274353027,0.6005013316622277,0.6074818147200739,0.6004813428117458
15,0.3,3,2234,17.3625009059906,0.565666675567627,0.5521013736724854,1.1177680492401123,0.6025379915400282,0.6151551619290541,0.6025120384791499
15,0.3,4,2234,16.155714511871338,0.6701078414916992,0.4563717842102051,1.1264796257019043,0.6022246592511358,0.6179225383305982,0.602196055400174
15,0.3,5,2234,15.867644309997559,0.7293581962585449,0.470428466796875,1.19978666305542,0.5771580761397462,0.5826114179549375,0.5771379149063508
20,0.2,1,2979,33.441423416137695,0.7775061130523682,0.4490337371826172,1.2265398502349854,0.599874667084443,0.6382581273404573,0.5998333737823092
20,0.2,2,2979,33.91922068595886,0.7523140907287598,0.49050235748291016,1.24281644821167,0.602381325395582,0.6328057956317458,0.6023438119743105
20,0.2,3,2979,35.072768449783325,0.7638909816741943,0.5106079578399658,1.2744989395141602,0.5956446811843961,0.628540535217782,0.5956050322452952
20,0.2,4,2979,31.46781277656555,0.7356081008911133,0.4689493179321289,1.2045574188232422,0.5984646717844274,0.6294033861726336,0.5984263483057377
20,0.2,5,2979,28.60638666152954,0.7793092727661133,0.49413275718688965,1.273442029953003,0.6083346388845371,0.6469258905047459,0.6082944748269923
20,0.3,1,2979,13.037793397903442,0.5704071521759033,0.43816161155700684,1.0085687637329102,0.6186746044179853,0.6240353661780571,0.618658297655766
20,0.3,2,2979,13.010560274124146,0.7516341209411621,0.40964341163635254,1.1612775325775146,0.6050446498511671,0.6164404802958025,0.6050201204201353
20,0.3,3,2979,11.327414751052856,0.42583680152893066,0.40387964248657227,0.8297164440155029,0.6061413128622904,0.6163042771836766,0.6061181333936534
20,0.3,4,2979,10.268097877502441,0.4670538902282715,0.3301210403442383,0.7971749305725098,0.5948613504621652,0.5989039396132768,0.594845484912532
20,0.3,5,2979,10.199346542358398,0.5108213424682617,0.3655543327331543,0.876375675201416,0.5857747140842864,0.5880503826141055,0.5857620881567756
